car ,count,date
"Dena+
TC7
AT6
AECS",300,2024-08-04
"Dena+
TC7
MT6
AECS",500,2024-08-06
"Dena+
Soren+
NA+
MT6
AECS",700,2024-05-06
"Dena+
TC+
MT6
AECS",200,2024-08-04
"Dena+
TC+
AT6
AECS",300,2024-04-28
"K125
TC+
AT6
AECS",,
"K125
TC+
MT6
AECS",,
"Tara
TC+
AT6
AECS",,
"207
EC5
AT6
AECS",,
"207
EC5
MT6
AECS",,
"Tara
EC5
AT6
AECS",,
"Tara
EC5
MT6
AECS",,
"Shahin
EC5
AT6
AECS",,
"TF21
EC5
AT6
AECS",,
"Tara
3F3L
MT6
AECS",,
"Tara
3F3H
AT6
AECS",,
"207
TU5
MT5
AECS",,
"207
TU3
MT5
IPCO [I16]",,
"Dena+
Soren+
EF7NA
MT5
IPCO [I16]",,
"Dena+
NA+
MT6
IPCO [I32]",,
"Pars
XU+
Mono Fuel
AECS",,
"Pars MUX
XU+
Mono Fuel
AECS",,
"Pars
XU+
Bi Fuel
AECS",,
"Arisun
XU+
Bi Fuel
AECS",,
"Soren+
TC CNG Ded
MT6
AECS",,
End Item,,
" 2 & 3
 Part Code",,
" 4 & 5
Engineering
code",,
